cnpj;empresa;exercicio;remuneracao_total;remuneracao_diretoria;remuneracao_conselho_adm;remuneracao_conselho_fiscal;receita;acoes_integralizadas;acoes_tesouraria;acoes_ex_tesouraria;origem_acoes;tickers;preco_medio_ponderado;precos_por_classe;market_cap;rem_sobre_receita_pct;rem_sobre_market_cap_pct;previsao;parcela_previsao;receita_origem;alertas_mercado;setor;apelido
61.079.117/0001-05;ALPARGATAS S.A.;2009;10345500.0;8703700.0;1173600.0;468200.0;1927021000.0;;;;;ON:ALPA3/PN:ALPA4;;;;0.5368649329716697;;False;0.0;DRE_con 2010;sem quantidade de acoes;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2010;10545190.0;8898190.0;1098000.0;549000.0;2239156000.0;353455880.0;5093220.0;348362660.0;FRE;ON:ALPA3/PN:ALPA4;11.785093404850413;ALPA3 12.49 / ALPA4 10.69;4105486486.8621464;0.470944856008246;0.25685603968604864;False;0.0;DRE_con 2010;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2011;13918350.0;11737950.0;1536000.0;644400.0;2574700000.0;388801468.0;5093220.0;383708248.0;FRE;ON:ALPA3/PN:ALPA4;14.075036888926297;ALPA3 13.75 / ALPA4 14.04;5400707745.18528;0.5405814269623646;0.2577134452870215;False;0.0;DRE_con 2011;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2012;16422330.0;14405130.0;1412400.0;604800.0;3006982000.0;427681615.0;5602542.0;422079073.0;FRE;ON:ALPA3/PN:ALPA4;14.481587247433973;ALPA3 14.20 / ALPA4 14.39;6112374920.965553;0.5461399502890273;0.2686734732791197;False;0.0;DRE_con 2012;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2013;16278400.0;14131600.0;1454400.0;692400.0;3425959000.0;470449777.0;6162796.0;464286981.0;FRE;ON:ALPA3/PN:ALPA4;12.4970602023339;ALPA3 12.09 / ALPA4 12.59;5802222352.716856;0.47514871018596544;0.280554570480701;False;0.0;DRE_con 2013;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2014;17460300.0;14184300.0;2520000.0;756000.0;3711162000.0;470449777.0;6779075.0;463670702.0;FRE;ON:ALPA3/PN:ALPA4;8.375293180280266;ALPA3 8.00 / ALPA4 8.52;3883378068.3563633;0.47048067424704176;0.4496162797610396;False;0.0;DRE_con 2014;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2015;21091500.0;17734500.0;2520000.0;837000.0;4126254000.0;470449777.0;7396403.0;463053374.0;FRE;ON:ALPA3/PN:ALPA4;8.530693331953909;ALPA3 9.45 / ALPA4 7.28;3950166329.92056;0.5111537001842349;0.5339395417413768;False;0.0;DRE_con 2015;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2016;24661400.0;21504300.0;2092000.0;1065100.0;4054404000.0;470449777.0;7396403.0;463053374.0;FRE;ON:ALPA3/PN:ALPA4;10.296330952660139;ALPA3 9.90 / ALPA4 10.38;4767750787.449911;0.608262028155063;0.5172543847072688;False;0.0;DRE_con 2016;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2017;21702340.0;18632900.0;2048000.0;1021440.0;3721863000.0;470449777.0;7396403.0;463053374.0;FRE;ON:ALPA3/PN:ALPA4;16.39090756637741;ALPA3 16.29 / ALPA4 15.97;7589865051.533189;0.5831042142067024;0.2859384172530976;False;0.0;DRE_con 2017;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2018;9540600.0;6126100.0;3074000.0;340500.0;3904509000.0;470449777.0;9245503.0;461204274.0;FRE;ON:ALPA3/PN:ALPA4;20.11917985054612;ALPA3 19.42 / ALPA4 20.04;9279051736.446552;0.2443482650443372;0.10281869603686043;False;0.0;DRE_con 2018;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2019;42073200.0;39022500.0;3050700.0;0.0;3712184000.0;588062222.0;9245503.0;578816719.0;FRE;ON:ALPA3/PN:ALPA4;30.78528831613326;ALPA3 27.58 / ALPA4 33.17;17819039576.61329;1.1333813194604578;0.23611373564274046;False;0.0;DRE_con 2019;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2020;27924100.0;22801900.0;5122200.0;0.0;3364278000.0;588062222.0;9150794.0;578911428.0;DFP;ON:ALPA3/PN:ALPA4;39.949922805285766;ALPA3 38.10 / ALPA4 41.97;23127466859.69775;0.8300176144777572;0.12073998492528783;False;0.0;DRE_con 2020;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2021;30731499.2;24932949.77;5798549.43;0.0;3948561000.0;588062222.0;8980194.0;579082028.0;DFP;ON:ALPA3/PN:ALPA4;33.86670527089955;ALPA3 31.00 / ALPA4 36.99;19611600369.9508;0.7782961742265093;0.1567006191248282;False;0.0;DRE_con 2021;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2022;23680741.15;20151006.7;3529734.45;0.0;4181866000.0;683062222.0;8712180.0;674350042.0;DFP;ON:ALPA3/PN:ALPA4;13.478985723916875;ALPA3 11.90 / ALPA4 15.08;9089554589.040745;0.5662721175188301;0.26052696991942614;False;0.0;DRE_con 2022;;Consumo;Alpargatas
