cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;salario;beneficios;participacoes_comites;outros_fixos;bonus;participacao_resultados;participacao_reunioes;comissoes;outros_variaveis;pos_emprego;cessacao_cargo;baseada_acoes;total_orgao;total_empresa;soma_verbas;dif_soma_total;alertas_82;desc_outras_fixas;desc_outras_variaveis;observacao;previsao;fre;data_referencia;versao;id_documento
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2014;4.0;4.0;2085918.0;196097.0;0.0;551783.0;0.0;254048.0;0.0;0.0;0.0;0.0;0.0;949433.0;4037279.0;6101279.0;4037279.0;0.0;;;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2017;2017-01-01;8;73670
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2014;10.0;10.0;1200000.0;0.0;480000.0;384000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2064000.0;6101279.0;2064000.0;0.0;;;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2017;2017-01-01;8;73670
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2015;4.0;4.0;3024706.0;243263.0;0.0;879350.0;0.0;716164.0;0.0;0.0;0.0;0.0;0.0;1133453.0;5996936.0;8012936.0;5996936.0;0.0;;Encargos;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2018;2018-01-01;17;83118
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2015;10.0;10.0;1200000.0;0.0;480000.0;336000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016000.0;8012936.0;2016000.0;0.0;;Encargos;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2018;2018-01-01;17;83118
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2016;3.58;3.58;3102931.3;116481.56;0.0;1054144.41;778338.99;1477383.82;0.0;0.0;155668.0;0.0;294806.0;1106919.0;8086673.08;10144235.56;8086673.08;0.0;;Encargos: INSS e FGTS;Encargos: INSS;;False;2019;2019-01-01;8;92842
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2016;10.0;10.0;1200000.0;41562.48;480000.0;336000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2057562.48;10144235.56;2057562.48;0.0;;Encargos: INSS;;;False;2019;2019-01-01;8;92842
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10144235.36;0.0;0.0;;;;;False;2017;2017-01-01;8;73670
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2017;3.0;3.0;3107937.06;185893.59;0.0;1166215.56;877000.0;2520571.0;0.0;0.0;0.0;0.0;206648.56;2085745.87;10150011.64;12372152.87;10150011.64;0.0;;Encargos;;"Vale ressaltar que, na opinião da Companhia, os valores relacionados do Plano de Opção de Compra de Ações da Companhia não configuram ""remuneração"", para fins trabalhistas e previdenciários. Sua inclusão no computo da remuneração global dos administradores é realizada única e exclusivamente para cumprir os requisitos regulatórios da CVM.";False;2019;2019-01-01;8;92842
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2017;8.0;7.33;1480000.0;14141.23;360000.0;368000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2222141.23;12372152.87;2222141.23;0.0;;Encargos;;;False;2019;2019-01-01;8;92842
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12676372.18;0.0;0.0;;;;;True;2017;2017-01-01;8;73670
