cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;total_orgao;salario;beneficios;bonus;participacao_resultados;baseada_acoes;previsao;fre;data_referencia;versao;id_documento
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2019;5.0;0.0;500000.0;500000.0;0.0;0.0;0.0;0.0;True;2019;2019-01-01;7;92411
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2019;1.25;1.0;752749.96;630416.64;0.0;0.0;0.0;0.0;False;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2019;1.25;1.0;752749.96;630416.64;0.0;0.0;0.0;0.0;False;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2019;1.25;1.0;752749.96;630416.64;0.0;0.0;0.0;0.0;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2020;5.0;4.0;3659999.76;3049999.8;0.0;0.0;0.0;0.0;True;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2020;5.0;4.17;3679138.88;3150034.75;0.0;0.0;0.0;0.0;False;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2020;5.0;4.17;3679138.88;3150034.75;0.0;0.0;0.0;0.0;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2020;5.0;4.0;3150034.75;3150034.75;0.0;0.0;0.0;0.0;False;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2021;5.0;5.0;5267124.92;4389270.77;0.0;0.0;0.0;0.0;True;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2021;5.0;5.0;2356666.59;2356666.59;0.0;0.0;0.0;0.0;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2021;5.0;5.0;4110000.04;4110000.04;0.0;0.0;0.0;0.0;False;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2021;5.0;5.0;4110000.04;4110000.04;0.0;0.0;0.0;0.0;False;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2022;5.0;5.0;4323333.24;4323333.24;0.0;0.0;0.0;0.0;True;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2022;5.0;5.0;4154166.7;4154166.7;0.0;0.0;0.0;0.0;False;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2022;5.0;5.0;4154166.7;4154166.7;0.0;0.0;0.0;0.0;False;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2022;5.0;5.0;4154166.7;4154166.7;0.0;0.0;0.0;0.0;False;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2023;5.0;5.0;7812666.7;5052666.7;0.0;2760000.0;0.0;0.0;True;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2023;5.0;5.0;7563500.0;4803500.0;0.0;2760000.0;0.0;0.0;False;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2023;5.0;5.0;7563500.0;4803500.0;0.0;2760000.0;0.0;0.0;False;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2023;5.0;5.0;7563500.0;4803500.0;0.0;2760000.0;0.0;0.0;False;2026;2026-12-31;3;159084
