cnpj;empresa;orgao;exercicio;previsto_maxima;realizado_maxima;desvio_maxima;desvio_maxima_pct;previsto_media;realizado_media;desvio_media;desvio_media_pct;previsto_minima;realizado_minima;desvio_minima;desvio_minima_pct;fre_previsao;fre_realizado;situacao;setor;apelido
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2022;;9916387.2;;;;4541715.66;;;;2285930.25;;;;2025;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2022;;2883628.84;;;;1100913.95;;;;194040.0;;;;2025;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2022;;45890.0;;;;45890.0;;;;45890.0;;;;2025;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2023;;17104200.13;;;;6091507.14;;;;3445261.62;;;;2026;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2023;;3006289.75;;;;983465.62;;;;400000.0;;;;2026;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2023;;93600.0;;;;93600.0;;;;93600.0;;;;2026;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2024;;22348787.22;;;;7147521.22;;;;3761460.16;;;;2026;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2024;;4053474.8;;;;1141829.14;;;;420000.0;;;;2026;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2024;;93600.0;;;;159900.0;;;;58500.0;;;;2026;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2025;;19079976.72;;;;6982646.11;;;;3904643.3;;;;2026;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2025;;6268703.28;;;;1414453.43;;;;420638.99;;;;2026;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2025;;93600.0;;;;93600.0;;;;93600.0;;;;2026;so realizado;Malls;Allos
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2015;;7657500.0;;;;5040500.0;;;;2465600.0;;;;2018;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2015;;720000.0;;;;420000.0;;;;360000.0;;;;2018;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2015;;167400.0;;;;167400.0;;;;167400.0;;;;2018;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2016;;9129100.0;;;;5376100.0;;;;3257200.0;;;;2019;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2016;;360000.0;;;;360000.0;;;;360000.0;;;;2019;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2016;;194400.0;;;;194400.0;;;;194400.0;;;;2019;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2017;;7336200.0;;;;4658200.0;;;;2832000.0;;;;2020;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2017;;360000.0;;;;360000.0;;;;360000.0;;;;2020;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2017;;201600.0;;;;201600.0;;;;201600.0;;;;2020;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2018;;2051000.0;;;;1164000.0;;;;1599000.0;;;;2021;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2018;;456000.0;;;;456000.0;;;;456000.0;;;;2021;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2018;;68300.0;;;;68300.0;;;;68300.0;;;;2021;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2019;;14692200.0;;;;7793000.0;;;;3221000.0;;;;2022;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2019;;504000.0;;;;504000.0;;;;504000.0;;;;2022;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2019;;0.0;;;;0.0;;;;0.0;;;;2022;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2020;;13670800.0;;;;5766100.0;;;;2600900.0;;;;2023;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2020;;1384800.0;;;;733900.0;;;;504000.0;;;;2023;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2020;;0.0;;;;0.0;;;;0.0;;;;2022;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2021;;13492700.0;;;;6233200.0;;;;3134400.0;;;;2024;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2021;;1640000.0;;;;828400.0;;;;504000.0;;;;2024;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2021;;0.0;;;;0.0;;;;0.0;;;;2022;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2022;;10880471.95;;;;4451524.81;;;;1821372.92;;;;2025;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2022;;572533.89;;;;441216.81;;;;284666.67;;;;2025;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2023;;3072500.0;;;;2434900.0;;;;1797400.0;;;;2026;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2023;;4182899.9999999995;;;;949800.0;;;;420000.0;;;;2026;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2024;;9002200.0;;;;5956800.0;;;;3654900.0;;;;2026;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2024;;1772800.0;;;;664300.0;;;;420000.0;;;;2026;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2025;;12788000.0;;;;8566500.0;;;;3570200.0;;;;2026;so realizado;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2025;;1756800.0;;;;611000.0;;;;420000.0;;;;2026;so realizado;Consumo;Alpargatas
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2011;;16430619.31;;;;4550712.6;;;;3214819.37;;;;2014;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2011;;10858172.83;;;;2272807.21;;;;439949.01;;;;2014;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2011;;466210.7;;;;252275.62;;;;116529.49;;;;2014;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2012;;15731876.07;;;;4947884.31;;;;1544914.59;;;;2015;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2012;;10388743.02;;;;1883026.92;;;;335512.67;;;;2015;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2012;;295201.44;;;;231880.1;;;;147600.67;;;;2015;so realizado;Consumo;Ambev
