cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;salario;beneficios;participacoes_comites;outros_fixos;bonus;participacao_resultados;participacao_reunioes;comissoes;outros_variaveis;pos_emprego;cessacao_cargo;baseada_acoes;total_orgao;total_empresa;soma_verbas;dif_soma_total;alertas_82;desc_outras_fixas;desc_outras_variaveis;observacao;previsao;fre;data_referencia;versao;id_documento
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2012;3.0;0.0;2591264.0;0.0;0.0;0.0;0.0;214744.0;0.0;0.0;0.0;0.0;0.0;141596.0;2947604.0;3427604.0;2947604.0;0.0;;;;"(1) O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.(2) A Companhia entende que os valores constantes do item ""Remuneração Baseada em Ações"" não deve ser considerado como remuneração uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visam apenas atender uma exigência da CVM e não devem ser consideradas para efeitos trabalhistas, fiscais e previdenciários.";False;2014;2014-01-01;6;46444
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2012;3.0;0.0;2591264.0;0.0;0.0;0.0;0.0;214744.0;0.0;0.0;0.0;0.0;0.0;141596.0;2947604.0;3427604.0;2947604.0;0.0;;;;"(1) O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.(2) A Companhia entende que os valores constantes do item ""Remuneração Baseada em Ações"" não deve ser considerado como remuneração uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visam apenas atender uma exigência da CVM e não devem ser consideradas para efeitos trabalhistas, fiscais e previdenciários.";False;2015;2015-01-01;7;56144
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2013;4.0;0.0;2024664.0;0.0;0.0;0.0;1706656.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3731320.0;4851320.0;3731320.0;0.0;;;;"(1) O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.(2) A Companhia entende que os valores constantes no item ""Baseada em ações"" da tabela acima não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos beneficiários do Plano de Opção de Compra de Ações da Companhia. Assim, a indicação destes valores visam apenas atender uma exigência da CVM e não devem ser considerados para efeitos trabalhistas, fiscais e/ou previdenciários.";True;2013;2013-01-01;6;36647
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2013;3.33;0.0;1968849.0;0.0;0.0;0.0;0.0;171489.0;0.0;0.0;0.0;0.0;0.0;587549.0;2727887.0;3807887.0;2727887.0;0.0;;;;"(1)O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. (2)A Companhia entende que os valores constantes do ""Remuneração Baseada em Ações"" item não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação desses valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.";False;2014;2014-01-01;6;46444
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2013;3.33;0.0;1968849.0;0.0;0.0;0.0;0.0;171489.0;0.0;0.0;0.0;0.0;0.0;587549.0;2727887.0;3807887.0;2727887.0;0.0;;;;"(1)O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. (2)A Companhia entende que os valores constantes do ""Remuneração Baseada em Ações"" item não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação desses valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.";False;2015;2015-01-01;7;56144
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2013;3.33;0.0;1968849.0;177815.0;0.0;464096.0;0.0;171489.0;0.0;0.0;0.0;0.0;0.0;587549.0;3369798.0;4665798.0;3369798.0;0.0;;;;O número de membros de cada órgão apresentado nas tabelas a seguir corresponde ao número de membros de cada órgão a quem foi atribuída remuneração variável reconhecida nos resultados para cada exercício encerrado em 31 de dezembro nos anos abaixo indicadoA Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2016;2016-01-01;9;65089
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2014;4.0;0.0;2007924.0;0.0;0.0;0.0;0.0;1706657.0;0.0;0.0;0.0;0.0;0.0;1175098.0;4889679.0;6569679.0;4889679.0;0.0;;;;"(1) O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.(2) A Companhia entende que os valores constantes do item ""Remuneração Baseada em Ações"" não deve ser considerado como remuneração uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visam apenas atender uma exigência da CVM e não devem ser consideradas para efeitos trabalhistas, fiscais e previdenciários.";True;2014;2014-01-01;6;46444
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2014;4.0;0.0;2085918.0;0.0;0.0;0.0;0.0;254048.0;0.0;0.0;0.0;0.0;0.0;949433.0;3289399.0;4969399.0;3289399.0;0.0;;;;;False;2015;2015-01-01;7;56144
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2014;4.0;0.0;2085918.0;196097.0;0.0;551783.0;0.0;254048.0;0.0;0.0;0.0;0.0;0.0;949433.0;4037279.0;6101279.0;4037279.0;0.0;;;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2016;2016-01-01;9;65089
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2014;4.0;4.0;2085918.0;196097.0;0.0;551783.0;0.0;254048.0;0.0;0.0;0.0;0.0;0.0;949433.0;4037279.0;6101279.0;4037279.0;0.0;;;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2017;2017-01-01;8;73670
