cnpj;empresa;orgao;exercicio;previsto_total;realizado_total;desvio_total;desvio_total_pct;previsto_membros;realizado_membros;desvio_membros;desvio_membros_pct;fre_previsao;fre_realizado;situacao;previsto_por_membro;realizado_por_membro;desvio_por_membro_pct;setor;apelido
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2019;4243475.0;3373733.49;-869741.5099999998;-20.495973465143535;8.2;7.0;-1.1999999999999993;-14.634146341463408;2019;2022;realizado;517496.95121951227;481961.92714285717;-6.86671177345387;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2019;297189.0;220272.0;-76917.0;-25.881509746323047;8.5;4.0;-4.5;-52.94117647058823;2019;2022;realizado;34963.41176470588;55068.0;57.50179178906354;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2020;29759277.0;29066007.35;-693269.6499999985;-2.329591710174943;8.0;8.0;0.0;0.0;2020;2023;realizado;3719909.625;3633250.91875;-2.3295917101749386;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2020;4084174.0;5312740.12;1228566.12;30.08114051947836;8.0;7.75;-0.25;-3.125;2020;2023;realizado;510521.75;685514.8541935484;34.27730634268735;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2020;132091.0;132084.0;-7.0;-0.005299376944682075;2.0;2.0;0.0;0.0;2020;2023;realizado;66045.5;66042.0;-0.005299376944678524;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2021;27771742.12;28182035.75;410293.62999999896;1.477378078145567;8.0;7.83;-0.16999999999999993;-2.124999999999999;2021;2024;realizado;3471467.765;3599238.282247765;3.6805906290120705;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2021;4324601.75;3373733.5;-950868.25;-21.987417685339466;7.0;7.0;0.0;0.0;2021;2024;realizado;617800.25;481961.9285714286;-21.987417685339462;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2021;220267.55;220272.0;4.4500000000116415;0.0020202703484973805;3.5;4.0;0.5;14.285714285714286;2021;2024;realizado;62933.58571428571;55068.0;-12.498232263445065;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2022;29422687.43;31792009.61;2369322.1799999997;8.052704857898835;7.0;7.0;0.0;0.0;2022;2025;realizado;4203241.061428571;4541715.658571429;8.05270485789884;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2022;5897041.91;4100698.84;-1796343.0700000003;-30.461765363305688;0.0;7.0;7.0;;2022;2025;realizado;;585814.12;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2022;330408.0;137670.0;-192738.0;-58.333333333333336;6.0;1.25;-4.75;-79.16666666666667;2022;2025;realizado;55068.0;110136.0;100.0;Malls;Allos
